"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2017,3,116449346,20700126
2017,12,116449410,20700140
2017,2,116449556,20700170
2017,12,116450053,20700283
2017,12,116450612,20700417
2017,12,116451001,20700525
2017,9,116451079,20700551
2017,3,116451101,20700558
2017,9,116451296,20700590
2017,12,116451807,20700710
2017,12,116452243,20700814
2017,18,116452574,20700887
2017,12,116453132,20701007
2017,12,116453644,20701130
2017,12,116454035,20701224
2017,12,116454133,20701238
2017,12,116454253,20701268
2017,12,116455083,20701446
2017,12,116457817,20702103
2017,3,116457960,20702147
2017,12,116459636,20702600
2017,12,116459908,20702680
2017,12,116463593,20703687
2017,12,116464093,20703803
2017,12,116464389,20703867
2017,12,116465389,20704083
2017,2,116466276,20704329
2017,12,116466341,20704341
2017,12,116466643,20704405
2017,18,116466940,20704476
2017,22,116467098,20704513
2017,12,116467205,20704538
2017,9,116467329,20704567
2017,12,116467639,20704652
2017,18,116468678,20704939
2017,12,116469513,20705153
2017,12,116469783,20705213
2017,12,116470184,20705323
2017,12,116470322,20705359
2017,20,116470449,20705394
2017,12,116470883,20705494
2017,12,116471156,20705581
2017,18,116471284,20705616
2017,12,116471939,20705813
2017,12,116472811,20706002
2017,12,116472997,20706046
2017,12,116473027,20706055
2017,22,116473314,20706117
2017,18,116473910,20706252
2017,12,116474320,20706340
2017,12,116474520,20706387
2017,18,116474750,20706444
2017,12,116474787,20706450
2017,18,116476614,20706889
2017,12,116477140,20707039
2017,18,116485940,20709238
2017,12,116486214,20709309
2017,10,116486299,20709328
2017,12,116487366,20709607
2017,12,115919506,20584993
2017,12,115919697,20585036
2017,12,115919733,20585049
2017,12,115924697,20586249
2017,12,115925343,20586359
2017,12,115926087,20586515
2017,3,115926536,20586601
2017,12,115928030,20586997
2017,12,115929393,20587310
2017,18,115931044,20587676
2017,20,115932284,20587976
2017,12,115944641,20590973
2017,12,115944879,20591005
2017,12,115945657,20591167
2017,12,115948840,20591883
2017,18,115949763,20592097
2017,12,115949763,20592099
2017,12,115949952,20592137
2017,12,115950097,20592171
2017,18,115950534,20592262
2017,3,115951504,20592463
2017,12,115952589,20592772
2017,12,115953136,20592929
2017,18,115954176,20593148
2017,3,115954206,20593156
2017,12,113781796,20119862
2017,12,113782018,20119908
2017,22,113782069,20119913
2017,10,113782584,20120055
2017,12,113782675,20120089
2017,19,113787567,20121318
2017,20,113787776,20121359
2017,12,113787921,20121399
2017,20,113787977,20121411
2017,19,113788195,20121467
2017,12,113788316,20121504
2017,12,113788572,20121566
2017,12,113789044,20121671
2017,19,113789097,20121686
2017,12,113789134,20121693
2017,12,113789210,20121715
2017,12,113789482,20121790
2017,12,113789832,20121867
2017,12,113789870,20121872
2017,12,113789921,20121882
2017,20,113789970,20121899
2017,3,113790038,20121917
2017,18,113791933,20122344
2017,12,113792172,20122382
2017,18,113792249,20122399
2017,12,113792656,20122485
2017,12,113793174,20122601
2017,12,113793254,20122625
2017,12,113793511,20122686
2017,12,113793614,20122725
2017,12,113793840,20122770
2017,12,113795670,20123267
2017,12,113796077,20123357
2017,12,113796696,20123506
2017,12,113797623,20123745
2017,12,113797682,20123762
2017,12,113798020,20123844
2017,18,113798537,20123943
2017,12,113798734,20123987
2017,3,113799737,20124225
2017,3,113799985,20124288
2017,12,116753983,20770536
2017,21,116754239,20770579
2017,12,116754448,20770620
2017,12,116755629,20770811
2017,12,116755908,20770872
2017,12,116756391,20770932
2017,3,116756435,20770948
2017,3,116756438,20770950
2017,2,116756500,20770965
2017,12,116756517,20770972
2017,12,116756533,20770975
2017,3,116756613,20770991
2017,12,116756739,20771018
2017,12,116757160,20771082
2017,12,116757256,20771104
2017,12,116757799,20771205
2017,12,116757879,20771217
2017,12,116757883,20771219
2017,18,116758096,20771245
2017,12,116758431,20771294
2017,12,116758593,20771315
2017,12,116758612,20771318
2017,12,116758651,20771325
2017,12,116758763,20771351
2017,12,116760365,20771567
2017,12,116760374,20771568
2017,12,116760608,20771609
2017,12,116760629,20771611
2017,13,118409423,21106390
2017,12,118409778,21106455
2017,2,118410824,21106617
2017,12,118410867,21106628
2017,12,118410870,21106629
2017,3,118410870,21106631
2017,12,118417247,21107957
2017,2,118419622,21108478
2017,18,118419665,21108491
2017,12,118419756,21108509
2017,18,118420011,21108560
2017,19,118420180,21108597
2017,12,118420357,21108644
2017,12,118420347,21108638
2017,12,118421126,21108797
2017,2,118421486,21108879
2017,12,118421647,21108922
2017,12,118421774,21108952
2017,9,118421770,21108949
2017,2,118422112,21109024
2017,12,118422500,21109093
2017,20,118422822,21109166
2017,12,118423089,21109227
2017,18,118423115,21109233
2017,20,118423381,21109291
2017,9,115835023,20564996
2017,12,115840186,20566064
2017,19,115841318,20566275
2017,12,115841756,20566358
2017,12,115842861,20566577
2017,12,115845457,20567136
2017,12,115846383,20567401
2017,12,115846410,20567409
2017,12,115848815,20568076
2017,12,115849317,20568173
2017,12,115851438,20568649
2017,20,115852216,20568800
2017,12,115852239,20568806
2017,20,115852247,20568809
2017,19,115852318,20568831
2017,12,115853306,20569071
2017,12,115853598,20569131
2017,12,115854559,20569348
2017,12,115855031,20569445
2017,18,115855031,20569444
2017,12,115856542,20569834
2017,20,115857347,20570013
2017,20,115858133,20570208
