"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,5,97719958,0.068,3,8163637
2017,5,97568297,1,3,8140057
2017,2,97695172,1.1,1,8159989
2017,5,97578070,0.056,3,8141491
2017,5,97579263,0.32,3,8141630
2017,12,97617634,5.5,1,8148328
2017,5,97620564,1.25,1,8149068
2017,15,97620564,13.42,1,8149069
2017,12,97622572,0.1,1,8149614
2017,8,97637779,0.02,3,8152701
2017,5,97714176,9.4,1,8162679
2017,5,101891859,0.005,3,8785473
2017,5,97522949,0.21,3,8133309
2017,17,97555153,,,8137960
2017,16,97509928,3.2,1,8131631
2017,5,97516931,0.04,3,8132522
2017,12,97517215,7.6,1,8132566
2017,5,97521883,0.08,3,8133105
2017,12,97533495,4.21,1,8134801
2017,16,97533495,6,9,8134803
2017,5,97533495,0.33,1,8134800
2017,17,97553687,,,8137632
2017,12,97562943,0.7,1,8139151
2017,5,101761427,0.04,3,8764558
2017,2,97508901,0.5,1,8131468
2017,5,97501530,9.8,1,8130369
2017,5,101769071,,,8765576
2017,16,97520157,1,9,8132902
2017,2,97492189,0.1,1,8128897
2017,5,97499970,2,3,8130212
2017,16,97533918,11.8,1,8134880
2017,12,105729775,0.9,1,9490929
2017,8,97480721,0.011,1,8127185
2017,4,97480721,3.1,1,8127184
2017,12,97549377,3.7,1,8136822
2017,12,97584051,0.1,1,8142382
2017,16,97497651,20,9,8129818
2017,18,97497651,,,8129819
2017,17,97497651,7.4,1,8129817
2017,16,97538824,0.33,9,8135509
2017,5,97538824,0.6,1,8135508
2017,5,97577600,12,1,8141398
2017,17,97481730,1,11,8127289
2017,5,97495883,0.1,3,8129516
2017,5,97505316,0.15,3,8131025
2017,12,97505316,10.48,9,8131023
2017,5,97509522,0.15,3,8131573
2017,15,97522853,0.002,1,8133292
2017,12,97522853,4.8,1,8133293
2017,17,97552211,,,8137289
2017,2,97564327,0.3,1,8139240
2017,5,97585441,2,1,8142672
2017,16,97593909,1,1,8144059
2017,5,101760619,1,1,8764399
2017,5,97652220,0.07,3,8154784
2017,12,97652220,4.04,1,8154783
2017,5,97659436,1.075,3,8155769
2017,5,97662802,0.585,3,8156075
2017,5,97675589,0.1,3,8157503
2017,12,97675589,0.4,1,8157502
